Distance_(inches),Gray_Value
3.67708,9.000
3.68750,9.000
3.69792,9.000
3.70833,9.000
3.71875,9.000
3.72917,9.000
3.73958,9.000
3.75000,9.000
3.76042,9.000
3.77083,9.000
3.78125,9.000
3.79167,9.000
3.80208,9.000
3.81250,9.000
3.82292,9.000
3.83333,9.000
3.84375,9.000
3.85417,9.000
3.86458,9.000
3.87500,9.000
3.88542,9.000
3.89583,9.000
3.90625,9.000
3.91667,9.000
3.92708,9.000
3.93750,9.000
3.94792,9.000
3.95833,9.000
3.96875,9.000
3.97917,9.000
3.98958,9.000
4.00000,9.000
4.01042,9.000
4.02083,9.000
4.03125,9.000
4.04167,9.000
4.05208,9.000
4.06250,9.795
4.07292,10.000
4.08333,10.000
4.09375,10.000
4.10417,10.000
4.11458,10.799
4.12500,11.000
4.13542,11.000
4.14583,11.000
4.15625,10.733
4.16667,10.667
4.17708,11.737
4.18750,12.000
4.19792,14.144
4.20833,19.495
4.21875,20.667
4.22917,18.517
4.23958,10.738
4.25000,171.044
4.26042,241.995
4.27083,241.308
4.28125,163.233
4.29167,56.744
4.30208,28.701
4.31250,21.319
4.32292,17.563
4.33333,13.477
4.34375,10.226
4.35417,9.667
4.36458,9.667
4.37500,10.482
4.38542,9.850
4.39583,9.667
4.40625,9.667
4.41667,9.667
4.42708,10.759
4.43750,11.000
4.44792,11.000
4.45833,11.000
4.46875,11.000
4.47917,11.000
4.48958,11.000
4.50000,11.000
4.51042,11.000
4.52083,9.624
4.53125,9.333
4.54167,9.333
4.55208,9.333
4.56250,9.333
4.57292,9.333
4.58333,9.333
4.59375,9.333
4.60417,9.887
4.61458,10.000
4.62500,10.000
4.63542,10.000
4.64583,10.000
4.65625,10.000
4.66667,10.000
4.67708,10.000
4.68750,10.000
4.69792,9.163
4.70833,9.000
4.71875,9.000
4.72917,9.000
4.73958,9.000
4.75000,9.000
4.76042,9.000
4.77083,9.000
4.78125,9.000
4.79167,9.562
4.80208,9.667
4.81250,9.667
4.82292,9.667
4.83333,9.667
4.84375,9.667
4.85417,9.667
4.86458,9.667
4.87500,9.667
4.88542,9.667
4.89583,9.667
4.90625,9.667
4.91667,9.667
4.92708,9.667
4.93750,9.667
4.94792,9.667
4.95833,9.667
4.96875,9.667
4.97917,9.667
4.98958,9.667
5.00000,9.667
5.01042,9.667
5.02083,9.667
5.03125,9.667
5.04167,9.667
5.05208,9.667
5.06250,9.093
5.07292,9.000
5.08333,9.000
5.09375,9.000
5.10417,9.000
5.11458,9.000
5.12500,9.000
5.13542,9.000
5.14583,9.000
5.15625,9.000
5.16667,9.000
5.17708,9.000
5.18750,9.000
5.19792,9.000
5.20833,9.000
5.21875,9.000
5.22917,9.000
5.23958,9.000
5.25000,9.000
5.26042,9.000
5.27083,9.000
5.28125,9.000
5.29167,9.000
5.30208,9.000
5.31250,9.000
5.32292,9.000
5.33333,9.586
5.34375,9.667
5.35417,9.667
5.36458,9.667
5.37500,9.667
5.38542,9.667
5.39583,9.667
5.40625,9.667
5.41667,9.667
5.42708,9.667
5.43750,9.667
5.44792,9.667
5.45833,9.667
5.46875,9.667
5.47917,9.667
5.48958,9.667
5.50000,9.667
5.51042,17.384
5.52083,53.977
5.53125,110.354
5.54167,98.817
5.55208,54.093
5.56250,32.017
5.57292,30.000
5.58333,17.467
5.59375,9.729
5.60417,10.195
5.61458,10.333
5.62500,10.034
5.63542,10.000
5.64583,9.101
5.65625,9.000
5.66667,9.000
5.67708,9.000
5.68750,8.399
5.69792,8.333
5.70833,8.333
5.71875,8.333
5.72917,8.333
5.73958,8.333
5.75000,8.333
5.76042,8.333
5.77083,8.333
5.78125,8.939
5.79167,9.000
5.80208,9.000
5.81250,9.000
5.82292,9.000
5.83333,9.000
5.84375,9.000
5.85417,9.000
5.86458,9.000
5.87500,9.000
5.88542,9.000
5.89583,9.000
5.90625,9.000
5.91667,9.000
5.92708,9.000
5.93750,9.000
5.94792,9.000
5.95833,9.000
5.96875,9.000
5.97917,9.000
5.98958,9.000
6.00000,9.000
6.01042,9.000
6.02083,9.000
6.03125,9.000
6.04167,9.000
6.05208,9.000
6.06250,9.000
6.07292,9.000
6.08333,9.000
6.09375,9.000
6.10417,9.000
6.11458,9.000
6.12500,9.000
6.13542,9.000
6.14583,16.768
6.15625,45.320
6.16667,55.735
6.17708,43.254
6.18750,20.830
6.19792,12.784
6.20833,9.524
6.21875,12.144
6.22917,11.083
6.23958,11.000
6.25000,11.000
6.26042,11.000
6.27083,11.000
6.28125,9.118
6.29167,9.000
6.30208,9.000
6.31250,9.000
6.32292,9.000
6.33333,9.000
6.34375,9.000
6.35417,9.000
6.36458,9.000
6.37500,9.000
6.38542,9.000
6.39583,9.000
6.40625,9.000
6.41667,9.000
6.42708,9.000
6.43750,9.000
6.44792,9.000
6.45833,9.000
6.46875,9.000
6.47917,9.000
6.48958,9.000
6.50000,14.733
6.51042,15.000
6.52083,15.000
6.53125,15.000
6.54167,15.000
6.55208,9.247
6.56250,9.000
6.57292,9.000
6.58333,9.000
6.59375,9.000
6.60417,9.000
6.61458,9.000
6.62500,9.000
6.63542,9.000
6.64583,9.000
6.65625,9.000
6.66667,9.000
6.67708,9.000
6.68750,9.000
6.69792,9.000
6.70833,9.000
6.71875,9.000
6.72917,9.000
6.73958,9.000
6.75000,9.000
6.76042,9.000
6.77083,9.000
6.78125,9.000
6.79167,9.000
6.80208,9.000
6.81250,9.000
6.82292,9.000
6.83333,9.000
6.84375,9.000
6.85417,9.000
6.86458,9.000
6.87500,9.000
6.88542,9.000
6.89583,9.000
6.90625,9.000
6.91667,9.000
6.92708,9.000
6.93750,9.000
6.94792,9.000
6.95833,9.000
6.96875,9.000
6.97917,9.000
6.98958,9.000
7.00000,9.000
7.01042,9.000
7.02083,9.000
