Distance_(inches),Gray_Value
3.67708,12.333
3.68750,12.333
3.69792,12.333
3.70833,12.333
3.71875,12.333
3.72917,12.333
3.73958,12.333
3.75000,10.333
3.76042,10.333
3.77083,10.333
3.78125,10.333
3.79167,10.333
3.80208,10.333
3.81250,10.333
3.82292,10.333
3.83333,10.333
3.84375,12.000
3.85417,12.000
3.86458,12.000
3.87500,12.000
3.88542,12.000
3.89583,12.000
3.90625,12.000
3.91667,12.000
3.92708,12.000
3.93750,12.333
3.94792,12.333
3.95833,12.333
3.96875,12.333
3.97917,13.333
3.98958,13.333
4.00000,13.333
4.01042,13.333
4.02083,13.333
4.03125,13.333
4.04167,13.333
4.05208,13.333
4.06250,13.333
4.07292,14.333
4.08333,14.333
4.09375,14.333
4.10417,14.333
4.11458,15.333
4.12500,15.333
4.13542,15.333
4.14583,15.333
4.15625,11.333
4.16667,11.333
4.17708,11.333
4.18750,11.333
4.19792,11.333
4.20833,14.000
4.21875,14.000
4.22917,14.000
4.23958,14.000
4.25000,14.000
4.26042,14.000
4.27083,14.000
4.28125,14.000
4.29167,15.667
4.30208,15.667
4.31250,15.667
4.32292,15.667
4.33333,15.667
4.34375,14.667
4.35417,14.667
4.36458,14.667
4.37500,14.667
4.38542,15.000
4.39583,15.000
4.40625,15.000
4.41667,15.000
4.42708,12.000
4.43750,14.000
4.44792,14.000
4.45833,18.000
4.46875,20.000
4.47917,14.333
4.48958,14.333
4.50000,14.333
4.51042,14.333
4.52083,14.333
4.53125,14.333
4.54167,14.333
4.55208,14.333
4.56250,13.000
4.57292,13.000
4.58333,13.000
4.59375,13.000
4.60417,13.000
4.61458,14.000
4.62500,14.000
4.63542,14.000
4.64583,14.000
4.65625,11.667
4.66667,11.667
4.67708,11.667
4.68750,11.667
4.69792,11.667
4.70833,11.667
4.71875,11.667
4.72917,11.667
4.73958,11.667
4.75000,11.667
4.76042,11.667
4.77083,11.667
4.78125,11.667
4.79167,11.667
4.80208,11.667
4.81250,11.667
4.82292,11.667
4.83333,11.667
4.84375,11.667
4.85417,11.667
4.86458,11.667
4.87500,11.667
4.88542,11.667
4.89583,11.667
4.90625,11.667
4.91667,11.667
4.92708,11.000
4.93750,11.000
4.94792,11.000
4.95833,11.000
4.96875,11.000
4.97917,11.000
4.98958,11.000
5.00000,11.000
5.01042,11.000
5.02083,10.000
5.03125,10.000
5.04167,10.000
5.05208,10.000
5.06250,10.000
5.07292,10.000
5.08333,10.000
5.09375,10.000
5.10417,10.000
5.11458,10.000
5.12500,10.000
5.13542,10.000
5.14583,10.000
5.15625,10.000
5.16667,10.000
5.17708,10.000
5.18750,10.000
5.19792,12.000
5.20833,12.000
5.21875,11.000
5.22917,11.000
5.23958,11.667
5.25000,11.667
5.26042,11.667
5.27083,11.667
5.28125,11.667
5.29167,11.667
5.30208,84.667
5.31250,183.333
5.32292,183.333
5.33333,101.667
5.34375,45.667
5.35417,35.000
5.36458,36.333
5.37500,12.000
5.38542,12.000
5.39583,12.000
5.40625,12.000
5.41667,12.000
5.42708,8.000
5.43750,8.000
5.44792,8.000
5.45833,8.000
5.46875,8.000
5.47917,8.000
5.48958,8.000
5.50000,8.000
5.51042,10.000
5.52083,10.000
5.53125,10.000
5.54167,10.000
5.55208,10.000
5.56250,9.000
5.57292,9.000
5.58333,9.000
5.59375,9.000
5.60417,9.000
5.61458,9.000
5.62500,9.000
5.63542,9.000
5.64583,9.000
5.65625,9.000
5.66667,9.000
5.67708,9.000
5.68750,9.000
5.69792,9.000
5.70833,9.000
5.71875,9.000
5.72917,9.000
5.73958,9.000
5.75000,9.000
5.76042,9.000
5.77083,9.000
5.78125,9.000
5.79167,9.000
5.80208,9.000
5.81250,9.000
5.82292,9.000
5.83333,9.000
5.84375,9.000
5.85417,9.000
5.86458,9.000
5.87500,9.000
5.88542,9.000
5.89583,9.000
5.90625,9.000
5.91667,9.000
5.92708,9.000
5.93750,9.000
5.94792,9.000
5.95833,9.000
5.96875,9.000
5.97917,9.000
5.98958,9.000
6.00000,9.000
6.01042,9.000
6.02083,9.000
6.03125,9.000
6.04167,9.000
6.05208,9.000
6.06250,9.000
6.07292,9.000
6.08333,9.000
6.09375,9.000
6.10417,9.000
6.11458,9.000
6.12500,9.000
6.13542,9.000
6.14583,9.000
6.15625,9.000
6.16667,9.000
6.17708,9.000
6.18750,9.667
6.19792,9.667
6.20833,9.667
6.21875,9.667
6.22917,9.667
6.23958,9.667
6.25000,9.667
6.26042,9.667
6.27083,9.667
6.28125,9.667
6.29167,9.667
6.30208,9.667
6.31250,9.667
6.32292,9.667
6.33333,9.667
6.34375,9.667
6.35417,9.667
6.36458,9.667
6.37500,9.667
6.38542,9.667
6.39583,9.667
6.40625,9.667
6.41667,9.667
6.42708,9.667
6.43750,9.667
6.44792,9.667
6.45833,9.000
6.46875,9.000
6.47917,9.000
6.48958,9.000
6.50000,9.000
6.51042,9.000
6.52083,9.000
6.53125,9.000
6.54167,9.000
6.55208,9.000
6.56250,9.000
6.57292,9.000
6.58333,9.000
6.59375,9.000
6.60417,9.000
6.61458,9.000
6.62500,9.000
6.63542,9.000
6.64583,9.000
6.65625,9.000
6.66667,9.000
6.67708,9.000
6.68750,9.000
6.69792,9.000
6.70833,9.000
6.71875,9.000
6.72917,9.667
6.73958,9.667
6.75000,9.667
6.76042,9.667
6.77083,9.667
6.78125,9.667
6.79167,9.667
6.80208,9.667
6.81250,9.667
6.82292,9.667
6.83333,9.667
6.84375,9.667
6.85417,9.667
6.86458,9.667
6.87500,9.667
6.88542,9.667
6.89583,9.667
6.90625,9.667
6.91667,9.000
6.92708,9.000
6.93750,9.000
6.94792,9.000
6.95833,9.000
6.96875,9.000
6.97917,9.000
6.98958,9.000
7.00000,9.000
7.01042,9.000
7.02083,9.000
7.03125,9.000
7.04167,9.000
7.05208,9.000
7.06250,9.000
7.07292,9.000
7.08333,9.000
7.09375,9.000
7.10417,9.000
7.11458,9.000
7.12500,9.000
7.13542,9.000
7.14583,9.000
7.15625,9.000
7.16667,9.000
7.17708,9.000
7.18750,0.000
