Distance_(inches),Gray_Value
3.67708,28.000
3.68750,12.667
3.69792,12.667
3.70833,24.667
3.71875,14.667
3.72917,14.667
3.73958,13.667
3.75000,13.667
3.76042,9.000
3.77083,9.000
3.78125,8.333
3.79167,8.333
3.80208,9.000
3.81250,9.000
3.82292,9.000
3.83333,9.000
3.84375,9.000
3.85417,9.000
3.86458,9.000
3.87500,9.000
3.88542,9.000
3.89583,9.000
3.90625,9.000
3.91667,9.000
3.92708,9.000
3.93750,9.000
3.94792,9.000
3.95833,9.000
3.96875,9.000
3.97917,9.000
3.98958,9.667
4.00000,9.667
4.01042,9.667
4.02083,9.667
4.03125,9.667
4.04167,9.667
4.05208,9.667
4.06250,9.667
4.07292,9.000
4.08333,9.000
4.09375,9.000
4.10417,9.000
4.11458,9.000
4.12500,9.000
4.13542,9.000
4.14583,9.000
4.15625,9.000
4.16667,10.000
4.17708,10.000
4.18750,10.000
4.19792,10.000
4.20833,9.000
4.21875,9.000
4.22917,10.000
4.23958,10.000
4.25000,10.000
4.26042,12.000
4.27083,12.000
4.28125,12.000
4.29167,12.000
4.30208,13.000
4.31250,13.000
4.32292,13.000
4.33333,13.000
4.34375,11.333
4.35417,11.333
4.36458,11.333
4.37500,11.333
4.38542,11.333
4.39583,11.333
4.40625,11.333
4.41667,11.333
4.42708,11.333
4.43750,10.000
4.44792,10.000
4.45833,10.000
4.46875,10.000
4.47917,10.000
4.48958,10.000
4.50000,10.000
4.51042,10.000
4.52083,10.000
4.53125,10.667
4.54167,10.667
4.55208,10.667
4.56250,10.667
4.57292,10.667
4.58333,10.667
4.59375,10.667
4.60417,10.667
4.61458,10.333
4.62500,10.333
4.63542,10.333
4.64583,10.333
4.65625,10.333
4.66667,9.333
4.67708,9.333
4.68750,9.333
4.69792,9.333
4.70833,8.667
4.71875,8.667
4.72917,8.667
4.73958,8.667
4.75000,11.667
4.76042,11.667
4.77083,11.667
4.78125,11.667
4.79167,11.667
4.80208,10.000
4.81250,10.000
4.82292,10.000
4.83333,10.000
4.84375,10.000
4.85417,10.000
4.86458,10.000
4.87500,10.000
4.88542,10.000
4.89583,10.000
4.90625,10.000
4.91667,10.000
4.92708,10.000
4.93750,10.000
4.94792,10.000
4.95833,10.000
4.96875,10.000
4.97917,11.667
4.98958,11.667
5.00000,11.667
5.01042,11.667
5.02083,11.667
5.03125,11.667
5.04167,11.667
5.05208,11.667
5.06250,11.667
5.07292,10.667
5.08333,10.667
5.09375,11.667
5.10417,11.667
5.11458,13.000
5.12500,13.000
5.13542,14.000
5.14583,14.000
5.15625,14.000
5.16667,14.000
5.17708,13.000
5.18750,13.000
5.19792,13.000
5.20833,11.667
5.21875,11.667
5.22917,10.667
