Distance_(inches),Gray_Value
2.71875,10.667
2.72917,10.667
2.73958,10.667
2.75000,15.667
2.76042,13.667
2.77083,10.667
2.78125,8.667
2.79167,9.667
2.80208,9.667
2.81250,9.667
2.82292,9.667
2.83333,9.667
2.84375,9.667
2.85417,9.667
2.86458,9.667
2.87500,9.667
2.88542,9.000
2.89583,9.000
2.90625,9.000
2.91667,9.000
2.92708,9.000
2.93750,9.000
2.94792,9.000
2.95833,9.000
2.96875,9.000
2.97917,9.000
2.98958,9.000
3.00000,9.000
3.01042,9.000
3.02083,9.000
3.03125,9.000
3.04167,9.000
3.05208,9.000
3.06250,9.000
3.07292,9.000
3.08333,9.000
3.09375,9.000
3.10417,9.000
3.11458,9.000
3.12500,9.000
3.13542,9.000
3.14583,9.000
3.15625,10.000
3.16667,10.000
3.17708,10.000
3.18750,10.000
3.19792,10.000
3.20833,10.000
3.21875,10.000
3.22917,10.000
3.23958,10.000
3.25000,10.000
3.26042,10.000
3.27083,10.000
3.28125,10.000
3.29167,10.000
3.30208,10.000
3.31250,10.000
3.32292,10.000
3.33333,10.000
3.34375,10.000
3.35417,10.000
3.36458,10.000
3.37500,10.000
3.38542,10.000
3.39583,10.000
3.40625,10.000
3.41667,10.000
3.42708,10.000
3.43750,10.000
3.44792,10.000
3.45833,10.000
3.46875,10.000
3.47917,10.000
3.48958,10.000
3.50000,10.000
3.51042,11.000
3.52083,11.000
3.53125,11.000
3.54167,14.333
3.55208,14.333
3.56250,16.000
3.57292,7.000
3.58333,31.667
3.59375,139.667
3.60417,117.667
3.61458,48.667
3.62500,27.333
3.63542,23.333
3.64583,9.333
3.65625,9.333
3.66667,9.333
3.67708,8.667
3.68750,8.667
3.69792,12.667
3.70833,12.667
3.71875,11.333
3.72917,11.333
3.73958,10.000
3.75000,10.000
3.76042,8.667
3.77083,8.667
3.78125,9.333
3.79167,9.333
3.80208,9.333
3.81250,9.333
3.82292,9.333
3.83333,9.333
3.84375,9.333
3.85417,9.333
3.86458,9.333
3.87500,10.000
3.88542,10.000
3.89583,10.000
3.90625,10.000
3.91667,10.000
3.92708,10.000
3.93750,10.000
3.94792,10.000
